Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Canada,,1.119386965,5.445858236,3.405212917,4.650755482,4.409518317,4.735675775,1.25281683,3.315250035,3.626733255,1.530820962,0.949749421,4.291959794,5.537503171,1.848524682,-0.008760864,4.494597714,2.234714765,2.656504352,2.68980292,0.846602825,2.205717633,-4.332146566,1.592134122,4.913348914,3.784695888,1.134639892,2.710104994,3.065042582,0.497585232,-1.334143917,-3.295391688,-0.287031425,1.538860993,3.356226813,1.636809393,0.562467833,3.248849357,1.946954614,3.128791699,3.945218535,0.309869789,2.303577116,2.879569876,2.948998239,4.008877922,3.118693054,5.835793377,-0.080294859,-4.03041986,1.94962821,2.142309001,0.663303088,1.25465502,1.839459846,-0.058784637,-0.031327848,1.764529713,0.471065971,
Germany,,,,,,,,,,,,2.943650185,3.80247598,4.448017222,0.850760292,-0.496434238,5.400212125,3.581437083,3.098181649,4.10433133,1.198693932,0.376242519,-0.300057791,1.839034164,3.178987217,2.556883568,2.240535044,1.246499636,3.302863728,3.09618003,4.35163906,4.345220041,1.156005354,-1.628158057,2.043489907,1.236820292,0.529524483,1.634823153,2.00359925,1.826122849,2.75592867,1.526794804,-0.36611274,-0.768486532,1.21188534,0.779058121,3.93175423,3.121878224,1.154421594,-5.457900872,4.338691916,5.868556631,0.231212503,0.154547998,1.800420038,0.862787538,1.408102174,2.082807721,1.195762891,
European Union,,4.643187257,4.0584619,4.64539624,4.80385838,3.413550431,3.398349396,3.917953078,4.786652525,5.119711179,4.490286097,3.096885885,4.057430044,5.485498154,1.674225934,-1.287085983,4.114650791,2.381770782,2.809157362,3.41900918,1.051851376,-0.050060228,0.699423855,1.593239076,2.228298654,2.368495961,2.386383915,2.642669883,4.077922484,3.380722322,2.642519527,1.272900448,0.726975481,-0.535581013,2.522011198,2.50238495,1.789408369,2.702982354,2.953385683,2.838213299,3.686064807,2.134794079,1.0389534,0.893833618,2.160881561,1.712275823,3.00197743,2.647718627,0.136372219,-4.602657151,1.944311354,1.850275844,-0.637764532,-0.032423325,1.419412684,2.046869123,1.739628148,2.402903859,1.811652504,
France,,3.604821524,5.361788907,4.751705736,5.248320942,3.625025392,4.180641162,4.000518717,3.675163806,6.30695564,5.300164274,4.484974441,3.676370124,5.515941028,3.552609137,-1.582715813,3.801231677,2.993830543,3.552398244,3.125232783,1.12867145,0.578958954,1.974394846,0.689992273,0.948118602,1.054117628,1.759947467,1.977449935,4.153435746,3.779990271,2.401704262,0.489757297,1.095403107,-1.058303189,1.978040453,1.738500356,1.054543233,1.974921246,3.207536715,2.890682266,3.214297711,1.244192104,0.402709914,0.11107373,2.075384202,0.899762891,1.737523985,1.792993386,-0.303770529,-3.37173719,1.44701286,1.69963012,-0.171212887,0.059905733,0.472969998,0.691921866,0.692650644,2.251980936,1.539463118,
United Kingdom,,1.899261982,0.248518863,4.09246874,4.849644927,1.488048483,1.014665361,2.234412369,4.929076844,1.501172983,2.301292936,3.053004417,3.948905416,6.30300307,-2.524880795,-1.472942137,2.934624673,2.476593041,4.196633802,3.648648647,-2.145034821,-0.80565957,2.046913584,4.18633053,2.114579753,3.959370905,2.901916965,5.077049434,5.523659414,2.302096692,0.438627901,-1.39330978,0.099958047,2.280839141,3.630792412,3.297968911,2.230894646,3.587692544,3.343265631,3.083961783,3.068548094,2.578699221,1.892089789,2.806551733,1.79315566,2.47371181,2.035550356,1.636058451,-1.062893134,-4.969350243,1.153474893,0.749525179,0.775772307,1.457911544,1.837387371,1.545056482,1.193020554,1.177472084,0.729787206,
Italy,,7.486418839,5.48747777,4.842052489,1.95553271,2.402046147,5.164163281,6.405677604,5.873594596,5.499179506,4.713420675,1.344280447,3.1034897,6.401805935,4.812013858,-2.673183923,6.592319738,2.125827464,2.872936391,5.65322401,3.217170115,0.723232418,0.339224954,1.132491172,3.202783035,2.768381432,2.854366912,3.181430294,4.144042085,3.310861995,1.900439783,1.468175611,0.765807606,-0.913401708,2.130215482,2.88520233,1.23832837,1.776351224,1.781324374,1.608634731,3.739946533,1.894123995,0.104759514,-0.305508789,0.769317663,0.323656244,1.48515736,0.975922133,-1.615940627,-5.711508383,1.400915343,0.53428744,-3.24206012,-2.9724038,-0.91781388,0.875477402,1.451875391,1.868714641,0.950146897,
Japan,,9.161193628,7.898662484,7.375594935,10.51914086,4.688558624,9.632958038,10.05100008,12.50716501,10.17648681,-0.729590751,3.359757842,6.905499722,7.141982495,-3.092924015,1.45411994,3.208801191,3.389185258,4.323652939,4.599166639,2.014645178,3.442257676,2.613816159,2.819922651,3.84111883,4.591979682,2.698871319,4.216838724,6.330404526,4.429632012,4.535250668,3.09703196,0.598037741,-0.763158161,0.649582771,2.350629364,2.839291738,0.835496803,-1.396708527,-0.433914444,2.607851315,0.164695475,-0.114538322,1.311201372,2.170289266,1.653122597,1.355753419,1.537441316,-1.141424849,-5.404594188,4.173027538,0.069762808,1.657317593,2.147531753,0.507999337,1.330400881,0.725146429,2.096551745,0.992931322,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.373495241,-5.259047967,-14.56843686,-8.564614832,-12.46130513,-4.169192942,-3.614960869,1.567688221,-5.143091975,6.729707725,10.46366496,5.546780908,5.18278578,7.787899658,7.632419622,6.806628492,8.554807566,8.685697584,5.246206669,-7.827754905,4.453103204,4.218741172,3.525674995,1.583474519,-1.080941759,-2.518180983,0.145592471,1.515174583,2.261780504,
United States,,0.618121193,4.480669354,2.908271948,4.340548963,5.07809761,5.277113858,1.389951286,3.758819368,2.097369706,-1.409379521,1.995610838,4.138084903,4.642152688,-1.445129268,-1.184589281,4.391462807,3.577152787,4.422982366,2.033891973,-1.209300499,1.536319677,-2.734556898,3.631993129,6.312154613,3.250656157,2.510891656,2.53894125,3.235401337,2.698174774,0.741481518,-1.434194515,2.096614705,1.406757912,2.760927543,1.468787267,2.572195766,3.197252957,3.270524044,3.557193092,2.975208626,0.003648979,0.802103852,1.980925834,2.842680642,2.563502406,1.867955514,0.911865598,-1.076700087,-3.38743566,1.71674816,0.816231684,1.502170583,1.138497258,1.702634247,2.125122816,0.835127873,1.564444431,2.291729492,
